Tue May 26 20:39:46 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100 80GB PCIe          Off |   00000000:81:00.0 Off |                    0 |
| N/A   29C    P0             44W /  300W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Device: cuda
Config: {'dataset': 'cifar10', 'num_classes': 10, 'label_fraction': 0.01, 'mode': 'full', 'lr': 0.003125, 'weight_decay': 0.0, 'momentum': 0.9, 'optimizer': 'sgd', 'epochs': 60, 'batch_size': 256, 'scheduler': 'cosine', 'warmup_epochs': 0, 'seed': 42, 'device': 'auto', 'num_workers': 2, 'output_dir': './checkpoints/finetune_outputs', 'run_name': ''}
Epoch   1/60 | train_loss=2.3009 train_acc=0.1328 | val_loss=2.2967 val_acc=0.1156 | 4.4s
Epoch   2/60 | train_loss=2.2844 train_acc=0.1484 | val_loss=2.2966 val_acc=0.1146 | 3.2s
Epoch   3/60 | train_loss=2.2917 train_acc=0.1406 | val_loss=2.2957 val_acc=0.1176 | 3.2s
Epoch   4/60 | train_loss=2.2874 train_acc=0.1328 | val_loss=2.2934 val_acc=0.1232 | 3.3s
Epoch   5/60 | train_loss=2.2792 train_acc=0.1680 | val_loss=2.2907 val_acc=0.1284 | 3.2s
Epoch   6/60 | train_loss=2.2799 train_acc=0.1719 | val_loss=2.2876 val_acc=0.1356 | 3.2s
Epoch   7/60 | train_loss=2.2702 train_acc=0.2109 | val_loss=2.2841 val_acc=0.1478 | 3.3s
Epoch   8/60 | train_loss=2.2613 train_acc=0.1914 | val_loss=2.2800 val_acc=0.1612 | 3.0s
Epoch   9/60 | train_loss=2.2578 train_acc=0.1914 | val_loss=2.2754 val_acc=0.1752 | 3.0s
Epoch  10/60 | train_loss=2.2510 train_acc=0.2422 | val_loss=2.2703 val_acc=0.1908 | 3.0s
Epoch  11/60 | train_loss=2.2338 train_acc=0.2969 | val_loss=2.2651 val_acc=0.2040 | 3.0s
Epoch  12/60 | train_loss=2.2307 train_acc=0.3047 | val_loss=2.2598 val_acc=0.2132 | 3.2s
Epoch  13/60 | train_loss=2.2227 train_acc=0.3359 | val_loss=2.2546 val_acc=0.2244 | 3.2s
Epoch  14/60 | train_loss=2.2199 train_acc=0.3398 | val_loss=2.2492 val_acc=0.2392 | 3.3s
Epoch  15/60 | train_loss=2.2037 train_acc=0.4258 | val_loss=2.2443 val_acc=0.2508 | 3.0s
Epoch  16/60 | train_loss=2.2039 train_acc=0.3633 | val_loss=2.2392 val_acc=0.2588 | 3.1s
Epoch  17/60 | train_loss=2.1934 train_acc=0.3750 | val_loss=2.2341 val_acc=0.2712 | 3.3s
Epoch  18/60 | train_loss=2.1873 train_acc=0.3867 | val_loss=2.2288 val_acc=0.2838 | 3.1s
Epoch  19/60 | train_loss=2.1780 train_acc=0.3945 | val_loss=2.2237 val_acc=0.2914 | 3.1s
Epoch  20/60 | train_loss=2.1575 train_acc=0.4766 | val_loss=2.2180 val_acc=0.3036 | 3.0s
Epoch  21/60 | train_loss=2.1532 train_acc=0.4688 | val_loss=2.2123 val_acc=0.3086 | 3.0s
Epoch  22/60 | train_loss=2.1531 train_acc=0.4375 | val_loss=2.2067 val_acc=0.3200 | 3.0s
Epoch  23/60 | train_loss=2.1482 train_acc=0.4531 | val_loss=2.2007 val_acc=0.3280 | 3.0s
Epoch  24/60 | train_loss=2.1318 train_acc=0.4883 | val_loss=2.1944 val_acc=0.3394 | 3.2s
Epoch  25/60 | train_loss=2.1181 train_acc=0.5039 | val_loss=2.1876 val_acc=0.3524 | 3.0s
Epoch  26/60 | train_loss=2.1058 train_acc=0.4883 | val_loss=2.1809 val_acc=0.3642 | 3.2s
Epoch  27/60 | train_loss=2.1148 train_acc=0.4766 | val_loss=2.1740 val_acc=0.3758 | 3.1s
Epoch  28/60 | train_loss=2.1080 train_acc=0.4492 | val_loss=2.1659 val_acc=0.3892 | 3.0s
Epoch  29/60 | train_loss=2.1017 train_acc=0.5000 | val_loss=2.1591 val_acc=0.4010 | 3.0s
Epoch  30/60 | train_loss=2.1139 train_acc=0.4648 | val_loss=2.1510 val_acc=0.4154 | 3.2s
Epoch  31/60 | train_loss=2.0728 train_acc=0.5430 | val_loss=2.1439 val_acc=0.4292 | 3.0s
Epoch  32/60 | train_loss=2.0808 train_acc=0.5039 | val_loss=2.1368 val_acc=0.4366 | 3.0s
Epoch  33/60 | train_loss=2.0736 train_acc=0.5000 | val_loss=2.1291 val_acc=0.4468 | 3.0s
Epoch  34/60 | train_loss=2.0855 train_acc=0.4961 | val_loss=2.1223 val_acc=0.4518 | 3.0s
Epoch  35/60 | train_loss=2.0768 train_acc=0.5195 | val_loss=2.1155 val_acc=0.4598 | 3.0s
Epoch  36/60 | train_loss=2.0581 train_acc=0.5391 | val_loss=2.1093 val_acc=0.4676 | 3.0s
Epoch  37/60 | train_loss=2.0660 train_acc=0.5703 | val_loss=2.1031 val_acc=0.4768 | 3.0s
Epoch  38/60 | train_loss=2.0561 train_acc=0.5742 | val_loss=2.0979 val_acc=0.4846 | 3.0s
Epoch  39/60 | train_loss=2.0531 train_acc=0.5625 | val_loss=2.0926 val_acc=0.4894 | 3.0s
Epoch  40/60 | train_loss=2.0379 train_acc=0.5820 | val_loss=2.0885 val_acc=0.4904 | 3.1s
Epoch  41/60 | train_loss=2.0518 train_acc=0.5430 | val_loss=2.0844 val_acc=0.4938 | 3.2s
Epoch  42/60 | train_loss=2.0491 train_acc=0.5352 | val_loss=2.0806 val_acc=0.4988 | 3.1s
Epoch  43/60 | train_loss=2.0427 train_acc=0.5781 | val_loss=2.0775 val_acc=0.5006 | 3.1s
Epoch  44/60 | train_loss=2.0474 train_acc=0.5664 | val_loss=2.0750 val_acc=0.5014 | 3.2s
Epoch  45/60 | train_loss=2.0394 train_acc=0.5703 | val_loss=2.0730 val_acc=0.5066 | 3.1s
Epoch  46/60 | train_loss=2.0323 train_acc=0.5742 | val_loss=2.0710 val_acc=0.5082 | 3.4s
Epoch  47/60 | train_loss=2.0270 train_acc=0.6094 | val_loss=2.0691 val_acc=0.5092 | 3.4s
Epoch  48/60 | train_loss=2.0330 train_acc=0.5586 | val_loss=2.0680 val_acc=0.5090 | 3.0s
Epoch  49/60 | train_loss=2.0325 train_acc=0.5508 | val_loss=2.0670 val_acc=0.5094 | 3.0s
Epoch  50/60 | train_loss=2.0343 train_acc=0.5586 | val_loss=2.0658 val_acc=0.5084 | 3.2s
Epoch  51/60 | train_loss=2.0238 train_acc=0.5664 | val_loss=2.0651 val_acc=0.5084 | 3.3s
Epoch  52/60 | train_loss=2.0353 train_acc=0.5430 | val_loss=2.0644 val_acc=0.5094 | 3.3s
Epoch  53/60 | train_loss=2.0230 train_acc=0.5898 | val_loss=2.0641 val_acc=0.5088 | 3.3s
Epoch  54/60 | train_loss=2.0241 train_acc=0.5820 | val_loss=2.0639 val_acc=0.5072 | 3.3s
Epoch  55/60 | train_loss=2.0301 train_acc=0.5742 | val_loss=2.0635 val_acc=0.5072 | 3.3s
Epoch  56/60 | train_loss=2.0289 train_acc=0.5859 | val_loss=2.0637 val_acc=0.5084 | 3.3s
Epoch  57/60 | train_loss=2.0317 train_acc=0.6211 | val_loss=2.0635 val_acc=0.5068 | 3.3s
Epoch  58/60 | train_loss=2.0303 train_acc=0.5938 | val_loss=2.0638 val_acc=0.5070 | 3.0s
